70409780,louroboros,friends,630,574,41,4063,Mon Aug 31 14:47:58 +0000 2009,https://t.co/s6kOHJBoF9,img/70409780.jpg,0xDEADBEEF
18055737,johngreen,friends,781,5315717,13782,31599,Thu Dec 11 18:28:42 +0000 2008,https://t.co/NTO5wT3X5F,img/18055737.png,Indianapolis  IN
382267114,Android,friends,58,9703573,24314,4790,Thu Sep 29 19:34:47 +0000 2011,http://t.co/WHg9n3cypK,img/382267114.jpg,Mountain View  CA
2396681623,AnnieVDane,friends,186,430,13,200,Tue Mar 18 19:33:21 +0000 2014,https://t.co/U6qA28ujRs,img/2396681623.jpg,New York  NY
2402475366,ChasingUX,friends,519,1729,46,767,Sat Mar 22 02:19:08 +0000 2014,https://t.co/u12C0GWnZ9,img/2402475366.jpg,San Francisco  CA
38679388,gmail,friends,60,5680510,18448,14406,Fri May 08 14:53:10 +0000 2009,http://t.co/t07FedBKq3,img/38679388.png,Mountain View  CA
437599613,BloodyProducer,friends,33,4143,43,236,Thu Dec 15 16:17:56 +0000 2011,https://t.co/NXw03HUWU9,img/437599613.jpg,Hong Kong
24530836,LaraJade_,friends,595,154726,2113,15082,Sun Mar 15 14:38:10 +0000 2009,https://t.co/fwHrBtGawG,img/24530836.jpg,New York 
113713261,ChromiumDev,friends,61,303182,5015,5220,Fri Feb 12 19:48:38 +0000 2010,https://t.co/aborGnTUM4,img/113713261.png,Mountain View  CA
66780587,awscloud,friends,612,1367167,5662,12809,Tue Aug 18 19:52:16 +0000 2009,https://t.co/8QQO0BCGlY,img/66780587.jpg,Seattle  WA
26534772,chucknicecomic,friends,438,31085,515,10431,Wed Mar 25 16:47:31 +0000 2009,http://t.co/z1BNOEQi9L,img/26534772.jpg,NY NY
23994947,thevonwong,friends,709,20423,491,10264,Thu Mar 12 18:06:47 +0000 2009,https://t.co/NvLNYkwLVz,img/23994947.jpg,San Francisco  CA
